n,r,m
"(:Exo {exoId: 20, exoDescription: De Exowaist is een passief exoskelet dat de rug en de heup ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: zachte materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Exowaist, exoManufacturer: Cyber Human Systems})",[:TRANSFERS_FORCES_TO],"(:Part {partId: 11, partName: Bovenbeen, partType: Body})"
"(:Exo {exoId: 21, exoDescription: De Exoshoulder is een passief exoskelet dat de schouders ontlast door de armen te ondersteunen bij repetitieve taken met de bovenste ledematen in verhoogde posities (ook voor horizontale verplaatsing van lasten)., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Exoshoulder, exoManufacturer: Cyber Human Systems})",[:TRANSFERS_FORCES_FROM],"(:Part {partId: 4, partName: Onderarm, partType: Body})"
"(:Exo {exoId: 21, exoDescription: De Exoshoulder is een passief exoskelet dat de schouders ontlast door de armen te ondersteunen bij repetitieve taken met de bovenste ledematen in verhoogde posities (ook voor horizontale verplaatsing van lasten)., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Exoshoulder, exoManufacturer: Cyber Human Systems})",[:TRANSFERS_FORCES_TO],"(:Part {partId: 10, partName: Bekken, partType: Body})"
"(:Exo {exoId: 22, exoDescription: De Exosoft is een passief exosuit dat de rug en de heup ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: zachte materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Exosoft, exoManufacturer: Cyber Human Systems})",[:TRANSFERS_FORCES_FROM],"(:Part {partId: 6, partName: Romp, partType: Body})"
"(:Exo {exoId: 22, exoDescription: De Exosoft is een passief exosuit dat de rug en de heup ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: zachte materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Exosoft, exoManufacturer: Cyber Human Systems})",[:TRANSFERS_FORCES_TO],"(:Part {partId: 11, partName: Bovenbeen, partType: Body})"
"(:Exo {exoId: 23, exoDescription: De Atlas is een passief exoskelet dat de handen, armen, schouders en rug ontlast bij het dragen of vasthouden van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Atlas, exoManufacturer: Exomys - Augmented Humanity GmbH})",[:TRANSFERS_FORCES_FROM],"(:Part {partId: 8, partName: Object, partType: Object})"
"(:Exo {exoId: 23, exoDescription: De Atlas is een passief exoskelet dat de handen, armen, schouders en rug ontlast bij het dragen of vasthouden van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Atlas, exoManufacturer: Exomys - Augmented Humanity GmbH})",[:TRANSFERS_FORCES_TO],"(:Part {partId: 10, partName: Bekken, partType: Body})"
"(:Exo {exoId: 24, exoDescription: De Back Protect is een passief exoskelet dat een goede tilhouding stimuleert om zo rugklachten voorkomen., exoMaterial: zachte materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Back Protect, exoManufacturer: BeMedico})",[:TRANSFERS_FORCES_FROM],"(:Part {partId: 6, partName: Romp, partType: Body})"
"(:Exo {exoId: 24, exoDescription: De Back Protect is een passief exoskelet dat een goede tilhouding stimuleert om zo rugklachten voorkomen., exoMaterial: zachte materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Back Protect, exoManufacturer: BeMedico})",[:TRANSFERS_FORCES_TO],"(:Part {partId: 10, partName: Bekken, partType: Body})"
"(:Exo {exoId: 25, exoDescription: De CareExo Lift is een passief exosuit, specifiek voor de zorg ontwikkeld, dat de rug, heup en knieën ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij patiëntentransfers., exoMaterial: zachte materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: CareExo Lift, exoManufacturer: Hunic})",[:TRANSFERS_FORCES_FROM],"(:Part {partId: 6, partName: Romp, partType: Body})"
"(:Exo {exoId: 25, exoDescription: De CareExo Lift is een passief exosuit, specifiek voor de zorg ontwikkeld, dat de rug, heup en knieën ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij patiëntentransfers., exoMaterial: zachte materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: CareExo Lift, exoManufacturer: Hunic})",[:TRANSFERS_FORCES_TO],"(:Part {partId: 12, partName: Onderbeen, partType: Body})"
"(:Exo {exoId: 26, exoDescription: De SoftExo Lift is een passief exosuit dat de rug, heup en knieën ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: zachte materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: SoftExo Lift, exoManufacturer: Hunic})",[:TRANSFERS_FORCES_FROM],"(:Part {partId: 6, partName: Romp, partType: Body})"
"(:Exo {exoId: 26, exoDescription: De SoftExo Lift is een passief exosuit dat de rug, heup en knieën ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: zachte materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: SoftExo Lift, exoManufacturer: Hunic})",[:TRANSFERS_FORCES_TO],"(:Part {partId: 12, partName: Onderbeen, partType: Body})"
"(:Exo {exoId: 27, exoDescription: De SoftExo Hold is een passief exosuit dat de rug ontlast bij een gedwongen houding zoals bv. bij langdurig staan en assemblagewerk., exoMaterial: zachte materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: SoftExo Hold, exoManufacturer: Hunic})",[:TRANSFERS_FORCES_FROM],"(:Part {partId: 6, partName: Romp, partType: Body})"
"(:Exo {exoId: 27, exoDescription: De SoftExo Hold is een passief exosuit dat de rug ontlast bij een gedwongen houding zoals bv. bij langdurig staan en assemblagewerk., exoMaterial: zachte materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: SoftExo Hold, exoManufacturer: Hunic})",[:TRANSFERS_FORCES_TO],"(:Part {partId: 10, partName: Bekken, partType: Body})"
"(:Exo {exoId: 28, exoDescription: De SoftExo Carry is een passief exoskelet dat de onderrug ontlast bij het dragen van lasten waarbij maximale bewegingsvrijheid vereist is zoals bv. bij pakketbezorging, magazijnwerk en de bouw., exoMaterial: zachte materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: SoftExo Carry, exoManufacturer: Hunic})",[:TRANSFERS_FORCES_FROM],"(:Part {partId: 6, partName: Romp, partType: Body})"
"(:Exo {exoId: 28, exoDescription: De SoftExo Carry is een passief exoskelet dat de onderrug ontlast bij het dragen van lasten waarbij maximale bewegingsvrijheid vereist is zoals bv. bij pakketbezorging, magazijnwerk en de bouw., exoMaterial: zachte materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: SoftExo Carry, exoManufacturer: Hunic})",[:TRANSFERS_FORCES_TO],"(:Part {partId: 6, partName: Romp, partType: Body})"
"(:Exo {exoId: 29, exoDescription: De Chairless Chair is een passief exoskelet dat de benen en onderrug ontlast doordat er snel, gemakkelijk en flexibel gewisseld kan worden tussen zitten, staan en lopen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Chairless Chair, exoManufacturer: Noonee})",[:TRANSFERS_FORCES_FROM],"(:Part {partId: 10, partName: Bekken, partType: Body})"
"(:Exo {exoId: 29, exoDescription: De Chairless Chair is een passief exoskelet dat de benen en onderrug ontlast doordat er snel, gemakkelijk en flexibel gewisseld kan worden tussen zitten, staan en lopen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Chairless Chair, exoManufacturer: Noonee})",[:TRANSFERS_FORCES_TO],"(:Part {partId: 2, partName: Ground, partType: Object})"
"(:Exo {exoId: 31, exoDescription: De EVO is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: EVO, exoManufacturer: Ekso Bionics})",[:TRANSFERS_FORCES_FROM],"(:Part {partId: 5, partName: Bovenarm, partType: Body})"
"(:Exo {exoId: 31, exoDescription: De EVO is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: EVO, exoManufacturer: Ekso Bionics})",[:TRANSFERS_FORCES_TO],"(:Part {partId: 10, partName: Bekken, partType: Body})"
"(:Exo {exoId: 32, exoDescription: De HeroWear Apex is een passief exosuit dat de rug en de heup ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: zachte materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: HeroWear Apex, exoManufacturer: HeroWear})",[:TRANSFERS_FORCES_FROM],"(:Part {partId: 6, partName: Romp, partType: Body})"
"(:Exo {exoId: 32, exoDescription: De HeroWear Apex is een passief exosuit dat de rug en de heup ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: zachte materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: HeroWear Apex, exoManufacturer: HeroWear})",[:TRANSFERS_FORCES_TO],"(:Part {partId: 11, partName: Bovenbeen, partType: Body})"
"(:Exo {exoId: 33, exoDescription: De Laevo Flex is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Laevo Flex, exoManufacturer: Laevo})",[:TRANSFERS_FORCES_FROM],"(:Part {partId: 6, partName: Romp, partType: Body})"
"(:Exo {exoId: 33, exoDescription: De Laevo Flex is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Laevo Flex, exoManufacturer: Laevo})",[:TRANSFERS_FORCES_TO],"(:Part {partId: 11, partName: Bovenbeen, partType: Body})"
"(:Exo {exoId: 34, exoDescription: De LEX Bionic Chair is een passief exoskelet dat de benen en onderrug ontlast doordat er snel, gemakkelijk en flexibel gewisseld kan worden tussen zitten, staan en lopen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: LEX Bionic Chair, exoManufacturer: Astride Bionics})",[:TRANSFERS_FORCES_FROM],"(:Part {partId: 10, partName: Bekken, partType: Body})"
"(:Exo {exoId: 34, exoDescription: De LEX Bionic Chair is een passief exoskelet dat de benen en onderrug ontlast doordat er snel, gemakkelijk en flexibel gewisseld kan worden tussen zitten, staan en lopen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: LEX Bionic Chair, exoManufacturer: Astride Bionics})",[:TRANSFERS_FORCES_TO],"(:Part {partId: 2, partName: Ground, partType: Object})"
"(:Exo {exoId: 35, exoDescription: De LiftSuit is een passief exosuit dat de rug en de heup ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: zachte materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: LiftSuit 2.0, exoManufacturer: Auxivo})",[:TRANSFERS_FORCES_FROM],"(:Part {partId: 6, partName: Romp, partType: Body})"
"(:Exo {exoId: 35, exoDescription: De LiftSuit is een passief exosuit dat de rug en de heup ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: zachte materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: LiftSuit 2.0, exoManufacturer: Auxivo})",[:TRANSFERS_FORCES_TO],"(:Part {partId: 11, partName: Bovenbeen, partType: Body})"
"(:Exo {exoId: 36, exoDescription: De Skelex 360-XFR is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Skelex 360-XFR, exoManufacturer: Skelex})",[:TRANSFERS_FORCES_FROM],"(:Part {partId: 5, partName: Bovenarm, partType: Body})"
"(:Exo {exoId: 36, exoDescription: De Skelex 360-XFR is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Skelex 360-XFR, exoManufacturer: Skelex})",[:TRANSFERS_FORCES_TO],"(:Part {partId: 10, partName: Bekken, partType: Body})"
"(:Exo {exoId: 37, exoDescription: De Skelex Neck Support is een passief exoskelet dat de nek ontlast bij het statisch achteroverbuigen van het hoofd., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Skelex Neck Support, exoManufacturer: Skelex})",[:TRANSFERS_FORCES_FROM],"(:Part {partId: 1, partName: Hoofd, partType: Body})"
"(:Exo {exoId: 37, exoDescription: De Skelex Neck Support is een passief exoskelet dat de nek ontlast bij het statisch achteroverbuigen van het hoofd., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Skelex Neck Support, exoManufacturer: Skelex})",[:TRANSFERS_FORCES_TO],"(:Part {partId: 6, partName: Romp, partType: Body})"
"(:Exo {exoId: 38, exoDescription: De ProFlex 1100SF is een passief exosuit dat de onderrug ontlast bij het staan en het hanteren van lichtere lasten zoals bv. bij langdurig staand assemblagewerk, orderpicking, het hanteren van lichtere lasten en pakketbezorging., exoMaterial: zachte materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: ProFlex 1100SF, exoManufacturer: Ergodyne})",[:TRANSFERS_FORCES_FROM],"(:Part {partId: 6, partName: Romp, partType: Body})"
"(:Exo {exoId: 38, exoDescription: De ProFlex 1100SF is een passief exosuit dat de onderrug ontlast bij het staan en het hanteren van lichtere lasten zoals bv. bij langdurig staand assemblagewerk, orderpicking, het hanteren van lichtere lasten en pakketbezorging., exoMaterial: zachte materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: ProFlex 1100SF, exoManufacturer: Ergodyne})",[:TRANSFERS_FORCES_TO],"(:Part {partId: 10, partName: Bekken, partType: Body})"